I
1100 Generated by WorldEditor 1.6.0r1

1    297 1 0 PGUM Guam Intl
1302 city Agana
1302 country United States
1302 datum_lat 13.483952778
1302 datum_lon 144.797133333
1302 faa_code GUM
1302 iata_code GUM
1302 icao_code PGUM
1302 region_code PG
1302 state Guam
1302 transition_alt 18000
1302 transition_level 18000
1302 flatten 1
100 45.72 1 1 0.25 0 3 0 06L  13.47773580  144.78141991  305  122 3 8 0 0 24R  13.49176120  144.81208899    0  122 3 0 0 0
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  13.487943678  144.816742074
111  13.487982495  144.816805943
111  13.488961072  144.816324867
111  13.491161448  144.815012089
112  13.491316630  144.815062627  13.491368577  144.815172013
111  13.491316630  144.815062627
111  13.493551151  144.821043688
112  13.493551151  144.821043688  13.493670877  144.821409982
111  13.494056226  144.821650433
111  13.494594714  144.821890120
112  13.494594714  144.821890120  13.494959879  144.822040948
111  13.495308599  144.821887042
111  13.496077665  144.821494858
112  13.496501272  144.821105918  13.496708162  144.820839962
111  13.496501272  144.821105918
111  13.497887619  144.818935280
112  13.498172502  144.818132184  13.498175794  144.817698779
111  13.497942409  144.817322073
111  13.494822798  144.811956786
112  13.494822798  144.811956786  13.494718903  144.811781256
111  13.494507826  144.811878807
111  13.493656235  144.812322687
112  13.493399591  144.812262703  13.493315238  144.812086411
111  13.493399591  144.812262703
111  13.492848534  144.811008400
112  13.492848534  144.811008400  13.492766759  144.810819185
111  13.492619252  144.810775653
111  13.492530905  144.810743244
112  13.492242991  144.810458712  13.492170801  144.810280222
111  13.492227741  144.810228748
111  13.492143244  144.810192019
112  13.492200508  144.810473948  13.492268090  144.810666654
111  13.492522970  144.810795344
111  13.492604018  144.810826253
112  13.492783807  144.811026384  13.492845138  144.811175654
111  13.492783807  144.811026384
111  13.493352685  144.812318846
112  13.493352685  144.812318846  13.493453364  144.812520323
111  13.493682627  144.812413812
111  13.494542384  144.811965136
112  13.494767411  144.812002181  13.494841622  144.812131920
111  13.494767411  144.812002181
111  13.497895580  144.817381837
112  13.498091715  144.818133268  13.498101592  144.818570059
111  13.497837203  144.818912877
111  13.496452261  144.821049567
112  13.496452261  144.821049567  13.496290347  144.821285458
111  13.496057502  144.821419713
111  13.495284116  144.821819422
112  13.494645487  144.821834392  13.494223452  144.821714345
111  13.494645487  144.821834392
111  13.494092214  144.821598411
112  13.493607154  144.821011806  13.493496407  144.820707074
111  13.493607154  144.821011806
111  13.491372135  144.815038052
112  13.491372135  144.815038052  13.491292977  144.814857438
111  13.491144655  144.814942079
113  13.488919246  144.816254190
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  13.489311464  144.801917922
111  13.489940928  144.801601613
111  13.489972072  144.801669222
111  13.490211099  144.802142838
111  13.490358915  144.802064590
111  13.490407752  144.802038737
111  13.490950438  144.803118141
111  13.491108887  144.803038609
111  13.491209608  144.803496530
111  13.491280903  144.803628914
111  13.491223346  144.803275534
111  13.491205356  144.803148341
112  13.491205356  144.803148341  13.491200858  144.803053524
111  13.491279318  144.803013239
111  13.491560514  144.802907522
112  13.491809395  144.802913387  13.491913658  144.802976458
111  13.491809395  144.802913387
111  13.491821364  144.803030351
112  13.491934040  144.803512645  13.491993327  144.803657709
111  13.491934040  144.803512645
111  13.492356168  144.804412538
111  13.493487160  144.806538898
112  13.493997843  144.806716717  13.494267826  144.806699787
111  13.493997843  144.806716717
111  13.494347566  144.806685912
112  13.494347566  144.806685912  13.494541822  144.806655439
111  13.494698148  144.806546616
111  13.494658795  144.806453337
112  13.494311526  144.806616506  13.494146902  144.806643593
111  13.494311526  144.806616506
111  13.493986914  144.806637664
112  13.493986914  144.806637664  13.493733394  144.806630892
111  13.493620555  144.806503817
111  13.492463633  144.804377141
111  13.492004673  144.803486489
112  13.492004673  144.803486489  13.491918810  144.803305685
111  13.491904173  144.803021976
111  13.491554020  144.800830941
111  13.491470359  144.800830941
111  13.491661484  144.802188609
112  13.491411663  144.802449954  13.491189031  144.802484643
111  13.491016579  144.802318574
111  13.489883600  144.800051250
111  13.489845370  144.799819990
111  13.489725993  144.798748710
112  13.489725993  144.798748710  13.489666130  144.798283925
111  13.489574340  144.797998931
111  13.487342718  144.792968984
111  13.487290712  144.792998994
111  13.488759333  144.796376079
112  13.488651933  144.796645127  13.488507064  144.796736545
111  13.488651933  144.796645127
111  13.488524887  144.796708171
111  13.487927398  144.795465314
111  13.487818828  144.795518788
111  13.487325558  144.794436668
111  13.486588020  144.794783672
111  13.486660328  144.794932388
111  13.486479772  144.795031535
111  13.486625295  144.795320010
112  13.486527403  144.795302635  13.486492076  144.795231557
111  13.486527403  144.795302635
111  13.486204558  144.794638553
112  13.486204558  144.794638553  13.486090769  144.794373996
111  13.485877802  144.794277937
111  13.485580537  144.794137757
112  13.485247484  144.793781743  13.485168776  144.793559738
111  13.485247484  144.793781743
111  13.484609436  144.791946585
111  13.484217631  144.791015457
111  13.483978689  144.790543362
112  13.483978689  144.790543362  13.483880188  144.790350332
111  13.483915309  144.790191872
111  13.483944781  144.790075504
112  13.483905007  144.789745113  13.483828808  144.789552083
111  13.483905007  144.789745113
111  13.479140666  144.779283020
112  13.478658193  144.778867838  13.478306930  144.778824595
111  13.478658193  144.778867838
111  13.478177134  144.778776076
111  13.477972061  144.778710923
111  13.477637814  144.778523798
111  13.476507156  144.778337687
112  13.475908524  144.778790137  13.475810394  144.779288368
111  13.475908524  144.778790137
111  13.475169954  144.784338317
111  13.475298039  144.785436862
111  13.477314205  144.789375016
111  13.477564130  144.791786179
111  13.477308533  144.794224271
111  13.477372424  144.794248416
111  13.477649528  144.791812263
111  13.477408094  144.789346789
111  13.475374809  144.785420437
111  13.475247065  144.784341256
111  13.475966148  144.778844714
112  13.475966148  144.778844714  13.476039745  144.778329665
111  13.476547401  144.778414684
111  13.477588367  144.778584464
111  13.477950817  144.778778563
111  13.478159380  144.778845443
111  13.478594190  144.778916327
112  13.479078867  144.779307507  13.479264393  144.779653454
111  13.479078867  144.779307507
111  13.483834069  144.789763562
112  13.483834069  144.789763562  13.483902834  144.789906901
111  13.483882343  144.790054956
111  13.483850043  144.790169069
112  13.483850043  144.790169069  13.483792429  144.790364010
111  13.483928889  144.790588557
111  13.484160836  144.791048274
111  13.484546118  144.791967854
111  13.485190535  144.793804523
112  13.485190535  144.793804523  13.485269243  144.794088967
111  13.485584733  144.794215887
111  13.485849468  144.794356395
112  13.486139069  144.794651787  13.486247911  144.794883274
111  13.486139069  144.794651787
111  13.487756838  144.798049129
112  13.487767585  144.798417602  13.487715863  144.798574857
111  13.487767585  144.798417602
111  13.487660607  144.798754112
111  13.487593860  144.798979744
111  13.487445749  144.798601510
111  13.487692026  144.798482329
111  13.487720999  144.798389219
111  13.487666673  144.798258865
111  13.487206715  144.798445085
111  13.488005539  144.800400178
111  13.488127428  144.800348861
111  13.488217494  144.800316170
111  13.487811633  144.799328842
111  13.487688329  144.798987579
111  13.487723864  144.798769918
111  13.487839717  144.798438602
112  13.487839717  144.798438602  13.487904932  144.798200407
111  13.487811830  144.798012530
111  13.487676377  144.797742138
111  13.487689652  144.797623602
111  13.487728168  144.797496327
111  13.487682484  144.797380504
111  13.487901774  144.797266628
111  13.488866163  144.799436489
111  13.488677169  144.799528375
111  13.488837813  144.799874634
111  13.488577508  144.800008477
111  13.488885764  144.800716441
111  13.488786437  144.800772796
111  13.487643405  144.797498417
112  13.487633186  144.797553700  13.487605259  144.797568059
111  13.487580431  144.797530007
111  13.487058146  144.796429095
112  13.487058146  144.796429095  13.487017652  144.796344375
111  13.487088411  144.796309770
111  13.487017110  144.796169131
111  13.487062223  144.796148249
112  13.487078714  144.796180201  13.487056779  144.796215508
111  13.487078714  144.796180201
